,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_05,PRIOR_01,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,BELONG_02,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,END,TIME_IN_PROGRAM,START,CLUSTER_SIZE
75,NASA Biosciences,"To make my undergraduate experience complete,To gain hands-on skills,To explore career interests",,Good,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,3-4 hrs/week,"Yes, in the same group.",,,Strongly considering,Yes,,Year with possibility of extending into summer,March,March,,,2026_05_16,,,4.0
76,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Fair,No,,Reaching out directly to a professor,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,1-2 hrs/wk,"Yes, in the same group.",,,Position secured or offer accepted,Yes,,Year long,August,August,,,2025_12_13,1.0,2025_10_01,2.0
77,Kavli ENSI,To prepare for graduate school,,Excellent,No,,Reaching out directly to a professor,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,August,August,,,2026_05_16,2.0,2025_10_01,4.0
78,CNMAT,To explore career interests,,Good,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,More than 5 hrs/week,"Yes, in the same group.",,,Exploring options,Yes,,Year long,June,July,,,2026_05_16,,,
79,Kavli ENSI,To make my undergraduate experience complete,,Excellent,No,,Reaching out directly to a professor,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Semester long,March,March,,,2026_05_16,,,4.0
80,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests",,Fair,No,,Reaching out directly to a professor,,,,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,"Yes, in the same group.",,,Strongly considering,Yes,,Year long,May,August,,,2026_05_16,2.0,2025_10_01,2.0
81,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Excellent,Yes,Collaborative research ,,,,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,None of the above.,,,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,,,2026_05_16,2.0,2025_10_01,4.0
82,CICI,"To explore career interests,To prepare for graduate school",,Excellent,Yes,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in a different group.",,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,,"This exposed me to so much that I did not know about, and could explore.",2026_05_16,2.0,2025_10_01,5.0
83,CICI,To prepare for graduate school,,Very Good,Yes,,,,,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,No.,"Non-academic/industry research.,Teaching / education.",,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",,,,,,,2026_05_16,2.0,2025_10_01,4.0
84,CNMAT,To prepare for graduate school,,Excellent,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"Yes, in a different group.",,,Actively appREDACTEDg,Yes,,,March,,,,2026_05_16,,,
85,KALX,To gain hands-on skills,,Very Good,Yes,,,,,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,1-2 hrs/wk,,,,,Yes,If I knew what the Discovery Hubs were/how they relate to the internship I just completed.,Semester long,April,July,,,2026_05_16,,,
86,CICI,To make my undergraduate experience complete,,Very Good,Yes,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,3-4 hrs/week,No.,,,,,,,June,,,,2026_05_16,2.0,2025_10_01,4.0
87,,I do not feel research is necessary,,Very Good,Yes,,Reaching out directly to a professor,,,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,1-2 hrs/wk,No.,,,2,,,,,,,,2025_12_13,,,
88,KALX,,,Fair,No,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,,,,,,,No.,"Non-academic/industry research.,Artistic / creative endeavors.,Professional practice.",,Exploring options,Yes,,Semester long,August,August,,,2026_05_16,1.0,2026_02_28,
89,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections",,Excellent,No,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,FARMWORKER ADVOCAXY ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,2026_05_16,2.0,2025_10_01,8.0
90,,"To make my undergraduate experience complete,To shape knowledge, not just consume it,To build mentorship connections,To prepare for graduate school,Other",,Very Good,No,,,,,,,,,,,,,,,,,,4,,,2,Yes,,Year long,,,,,2025_12_13,,,
91,,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Poor,Yes,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,,,,,,,,,,,,,,,,,,,,,,,,2025_12_13,,,
92,Kavli ENSI,To make my undergraduate experience complete,,Excellent,Yes,,Reaching out directly to a professor,,,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,2026_05_16,,,2.0
93,Kavli ENSI,To prepare for graduate school,,Poor,Yes,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,,,,,,,,,,,,,,,,,,,,,,,,2025_12_13,,,2.0
94,Molecular Foundry,"To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_05_16,2.0,2025_10_01,
95,,,,,Yes,,,,,,,,,,,,,,,,,,No.,,,,,test response,,,,,,2025_12_13,,,
96,CICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_05_16,2.0,2025_10_01,6.0
97,KALX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_05_16,1.0,2026_02_28,
98,Molecular Foundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_05_16,,,
99,CICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026_05_16,2.0,2025_10_01,8.0
